PWC Consistency Rate, Factors on Level 2, People, Process, Technology
R1,0.08614938,0.03372082,0.06747367,0.03372082
R2,2.24815061,0.03372082,0.03372082,0.06747367
R3,0.50035373,0.03372082,0.03372082,0.10411072
R4,0.50035373,0.10411072,0.00000000,0.10411072
R5,0.00000000,0.00000000,0.00000000,0.03372082
R6,0.06922400,0.03372082,0.00000000,0.07731320
R7,0.50035373,0.10411072,0.10411072,0.06747367
R8,0.00000000,0.03372082,0.03372082,0.03372082
R9,0.50035373,0.00000000,0.03372082,0.03372082
R10,0.02790226,0.03372082,0.00000000,0.03372082